Date,Open,High,Low,Close,Volume,closeTime,QuoteVolume,Trades,TakerBuyBase,TakerBuyQuote,openTimeStamp,closeTimeStamp
2025-10-28 20:09:00+00:00,113008.83,113178.12,112950.0,113165.45,73.74005,2025-10-28 20:09:59.999000+00:00,8335181.5740342,8413,22.6924,2565449.0826533,1761682140000,1761682199999
2025-10-28 20:10:00+00:00,113165.46,113228.99,113120.57,113175.16,11.42902,2025-10-28 20:10:59.999000+00:00,1293397.1978771,4197,7.266,822323.0822278,1761682200000,1761682259999
2025-10-28 20:11:00+00:00,113175.15,113200.0,113076.24,113083.03,18.26359,2025-10-28 20:11:59.999000+00:00,2066485.4887881,4110,5.82978,659710.9087206,1761682260000,1761682319999
2025-10-28 20:12:00+00:00,113083.03,113083.03,112900.0,112911.35,61.08231,2025-10-28 20:12:59.999000+00:00,6899633.5842942,7405,20.92568,2363656.7455487,1761682320000,1761682379999
2025-10-28 20:13:00+00:00,112911.35,113000.0,112755.0,112974.14,80.41928,2025-10-28 20:13:59.999000+00:00,9077792.8776445,12482,27.86315,3144646.8166712,1761682380000,1761682439999
2025-10-28 20:14:00+00:00,112974.14,113068.37,112907.0,112922.71,18.97534,2025-10-28 20:14:59.999000+00:00,2143783.5662775,5932,10.59483,1196893.4222087,1761682440000,1761682499999
2025-10-28 20:15:00+00:00,112922.7,112948.43,112843.0,112862.0,28.53851,2025-10-28 20:15:59.999000+00:00,3221650.2063616,5611,14.15445,1597703.289734,1761682500000,1761682559999
2025-10-28 20:16:00+00:00,112862.01,112938.15,112681.0,112694.13,72.03709,2025-10-28 20:16:59.999000+00:00,8124622.7952078,8559,20.20882,2279115.9439026,1761682560000,1761682619999
2025-10-28 20:17:00+00:00,112694.13,112886.0,112660.0,112765.15,47.24124,2025-10-28 20:17:59.999000+00:00,5325891.1153955,9961,16.81296,1895377.8966314,1761682620000,1761682679999
2025-10-28 20:18:00+00:00,112765.15,112825.08,112733.32,112741.35,15.88534,2025-10-28 20:18:59.999000+00:00,1791526.0007622,4575,12.55025,1415400.6501891,1761682680000,1761682739999
2025-10-28 20:19:00+00:00,112741.35,112741.35,112450.0,112607.72,132.29764,2025-10-28 20:19:59.999000+00:00,14892150.5814912,15210,50.47973,5682171.2593878,1761682740000,1761682799999
2025-10-28 20:20:00+00:00,112607.72,112698.5,112450.0,112470.0,52.54116,2025-10-28 20:20:59.999000+00:00,5915430.812923,10058,19.508,2196155.3236677,1761682800000,1761682859999
2025-10-28 20:21:00+00:00,112470.0,112609.57,112458.31,112537.54,19.02565,2025-10-28 20:21:59.999000+00:00,2141283.6185575,6571,11.12585,1252326.2668887,1761682860000,1761682919999
2025-10-28 20:22:00+00:00,112537.54,112696.36,112520.0,112613.22,42.40342,2025-10-28 20:22:59.999000+00:00,4775774.9217245,7307,30.30081,3412761.1174877,1761682920000,1761682979999
